id,nome,nome_ptbr,tipo,cr,origem_sugerida,andar_sugerido,arquetipo_sugerido,perigo_sugerido,tratamento_sugerido,humanoid_npc_sugerido,morale_immune_sugerido,confianca,motivo
1,Aarakocra,Aarakocra,humanoide,0.25,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
4,Acolyte,Acólito,humanoide,0.25,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
11,Adult Blue Dracolich,Dracolich Azul Adulto,morto-vivo,17,Cicatricial,Eco,Boss,Letal,renomeacao_profunda,false,true,alta,tipo morto-vivo → Cicatricial
33,Androsphinx,Androesfinge,monstruosidade,17,Ressonante,Superfície,Boss,Letal,renomeacao_profunda,false,false,baixa,monstruosidade magic → Ressonante
44,Azer,Azer,elemental,2,Ressonante,Superfície,Brute,Ambiente,renomeacao_profunda,false,true,alta,tipo elemental → Ressonante
69,Bone Naga (Guardian),Naga Óssea (Guardiã),morto-vivo,4,Cicatricial,Eco,Brute,Ameaça,renomeacao_profunda,false,true,alta,tipo morto-vivo → Cicatricial
70,Bone Naga (Spirit),Naga Óssea (Espírito),morto-vivo,4,Cicatricial,Eco,Brute,Ameaça,renomeacao_profunda,false,true,alta,tipo morto-vivo → Cicatricial
74,Bugbear,Bugbear,humanoide,1,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
75,Bugbear Chief,Chefe Bugbear,humanoide,3,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
77,Bullywug,Bullywug,humanoide,0.25,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
82,Cave Bear,Urso das Cavernas,besta,2,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
83,Centaur,Centauro,monstruosidade,2,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,baixa,monstruosidade (default) → Natural
99,Cult Fanatic,Fanático do Culto,humanoide,2,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
101,Cyclops,Ciclope,gigante,6,Natural,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,alta,tipo gigante → Natural
108,Deep Gnome (Svirfneblin),Gnomo das Profundezas,humanoide,0.5,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
120,Drow,Drow,humanoide,0.25,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
121,Drow Elite Warrior,Guerreiro Elite Drow,humanoide,5,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
122,Drow Mage,Mago Drow,humanoide,7,,,Leader,Letal,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
123,Drow Priestess of Lolth,Sacerdotisa Drow de Lolth,humanoide,8,,,Leader,Letal,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
126,Duergar,Duergar,humanoide,1,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
127,Duodrone,Duodrona,constructo,0.25,Ressonante,Superfície,Brute,Ambiente,renomeacao_profunda,false,true,media,constructo (default) → Ressonante
152,Flying Sword,Espada Voadora,constructo,0.25,Ressonante,Superfície,Brute,Ambiente,renomeacao_profunda,false,true,media,constructo (default) → Ressonante
158,Gas Spore,Esporo de Gás,planta,0.5,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,media,planta (default) → Natural
180,Giant Poisonous Snake,Cobra Venenosa Gigante,besta,0.25,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
183,Giant Sea Horse,Cavalo-Marinho Gigante,besta,0.5,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
198,Gnoll,Gnoll,humanoide,0.5,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
202,Goblin,Goblin,humanoide,0.25,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
