"id","nome","nome_ptbr","tipo","subtipo","raridade","descricao"
553,"Amulet of the Inferno","Amuleto do Inferno","acessorio","amuleto","Artefato","Um disco de ouro negro preso a uma corrente de elos irregulares, cada elo feito de um metal diferente — ferro, cobre, prata, chumbo, e um quinto que nenhum ferreiro consegue identificar. O disco é quente ao toque, mesmo em gelo. A corrente é fria.

Foi presente de nascimento a uma filha de nobreza infernal, oferecido por um bruxo que já não existe em nenhuma hierarquia conhecida do submundo. A criança cresceu. O amuleto a acompanhou até a morte, foi roubado do túmulo, circulou por séculos entre cultos e mercenários, e continua aparecendo em tesouros saqueados com regularidade suficiente para alguns estudiosos suspeitarem que ele escolhe sua própria rota.

Concede +3 ao bônus de ataque mágico e CD de magias. Enquanto usado, o portador é imune a dano de fogo, e uma vez por dia pode lançar chamas amaldiçoadas como se soubesse a magia nativamente — a versão do amuleto é mais densa, mais quente, e deixa cinzas que levam três dias para esfriar.

O custo é constante, não ritualístico. Quem usa o amuleto por mais de uma semana começa a sonhar com paisagens que não existem em nenhum mapa do mundo — cidades de sal negro, rios que correm para cima, parlamentos de figuras que o sonhador conhece mas não consegue nomear. Os sonhos permanecem mesmo quando o amuleto é retirado. Alguns portadores dizem que os sonhos eram o melhor daquele período da vida deles.

Requer vínculo. O vínculo se dá ao primeiro pesadelo. Não tem cerimônia anterior — o portador só descobre que está vinculado quando acorda suando."
869,"Crown of Horns","Coroa of Horns","acessorio","elmo","Artefato","[PLACEHOLDER] The Crown of Horns contains the essence and intelligence of Myrkul, one of the Dead Three. This ghastly crown is a pale silver circlet with four curved bones set around its rim. On the crown's brow is set a black diamond whose depths swirl with weird, malignant energy. Myrkul created the Crown of Horns at the height of his power. When Myrkul was slain by Mystra, he imbued the crown with his dying essence. Myrkul has since returned to become one of the Dead Three, and the Crown of Horns contin..."
870,"Crown of Lies","Coroa of Lies","acessorio","elmo","Artefato","[PLACEHOLDER] After betraying and nearly destroying the lich Vecna, the warrior Kas found himself trapped in the Shadowfell, imprisoned in a Domain of Dread called Tovag. There, he languished as a vampire. In time, the Dark Powers of the Domain of Dread lured Kas to a hidden forge, where he found the Crown of Lies. Once Kas vowed to deliver Vecna into the Dark Powers' clutches and donned the crown, the Dark Powers released Kas. From there, Kas set out to ruin his former master. Should Kas fail, the Dark Po..."
1269,"Helm of Perfect Potential","Elmo of Perfect Potential","acessorio","elmo","Artefato","[PLACEHOLDER] This copper-hued helm contains a shard of the Elemental Chaos embedded in its forehead, surrounded by a motif of a rising sun. Legend says Annam fashioned this helm for his daughter Diancastra to hold the fragment of chaos she used to prove her worth to her father. The helm has the following random properties, determined by rolling on the appropriate table in the Dungeon Master's Guide: While wearing the helm, you have advantage on Charisma (Deception) and Wisdom (Insight) checks. As a bonus ..."
1513,"Mask of the Dragon Queen","Máscara of the Dragon Queen","acessorio","elmo","Artefato","[PLACEHOLDER] Individually, the five dragon masks resemble the dragons they are named for. When two or more of the dragon masks are assembled, however, they transform magically into the Mask of the Dragon Queen. Each mask shrinks to become the modeled head of a chromatic dragon, appearing to roar its devotion to Tiamat where all the masks brought together are arranged crown-like on the wearer's head. Below the five masks, a new mask shapes itself, granting the wearer a draconic visage that covers the face,..."
1958,"Ring of Winter","Anel of Winter","acessorio","anel","Artefato","[PLACEHOLDER] Artus Cimber has kept this item in his possession for over a century. The Ring of Winter is a golden band that resizes to fit snugly on the finger of its wearer. A thin layer of frost coats the outside of the ring, which normal heat can't melt. The ring feels ice cold to the touch and initially numbs the hand that wears it, but this cold ceases to be felt by one who is attuned to this ring. The Ring of Winter is sentient and tries to take control of any creature that wears it (see ""Sentient M..."
1991,"Rod of Seven Parts","Bastão of Seven Parts","acessorio","cajado","Artefato","[PLACEHOLDER] Eons ago, a war between the primordials and the gods scarred the planes of existence. A demon lord named Miska the Wolf-Spider eventually pushed the primordials' enemies to the brink of annihilation. Desperate to save themselves and their allies, powerful elemental beings called the Wind Dukes of Aaqa rose against Miska. Committed to the concept of law, the Wind Dukes descended from a people called the vaati, who once ruled many worlds. Seven Wind Dukes wove their power into an artifact calle..."
2006,"Ruby Rod of Asmodeus","Ruby Bastão of Asmodeus","acessorio","cajado","Artefato","[PLACEHOLDER] Asmodeus's Ruby Rod is said to have been constructed from a shard of pure evil, a ruby soaked in the blood of the innocents, the drool from a draconic deity, and the tears of 777 angels. It is a magic rod that functions as a morningstar and you have a +2 bonus to attack and damage rolls made with it. All damage dealt with it is converted to necrotic, and when you hit a good aligned creature, that creature takes an extra 2d12 necrotic damage. The Ruby Rod of Asmodeus has 66 charges and regains..."
2906,"Crown of the Crystal Sovereign","Coroa of the Crystal Sovereign","acessorio","elmo","Artefato","[PLACEHOLDER] This crown looks like a braid of pure crystal and its front is a set of three pointed, curling spires that give its wearer an imposing, regal silhouette. Once worn by the monarch of an ancient crystal palace deep underground, the crown was lost after its wearer’s grasping schemes brought calamity on their people. The power, ambition, and ruthless might of the Crystal Sovereign of Coranaal still lingers, granting the wearer the following properties: _Crystal Skin._ Your skin takes on a jagged,..."
523,"Adventurer's Ring","Adventurer's Anel","acessorio","anel","Comum","[PLACEHOLDER] While the cover on this ring is open, the ring produces a flame that creates no heat and consumes no fuel. It sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. As a Bonus Action, you can close the cover, smothering the flame, or open it again."
